alkB	ada	alkA	livK	livJ	lysU	kbl	livG	aidB	lrp
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.11076288484036922	-0.7489943483378738
-0.06392053118906915	0.0	0.0	0.0	-0.562107591656968	0.0	0.0	0.0	0.0	0.0
-0.19526347098872066	-0.6320299005601555	0.4221383716477339	0.0	0.0	0.0	0.0	-0.4993777456693351	0.0	0.0
0.0	-0.504037523875013	0.0	-0.9060469171963632	0.0	0.0	0.18102295689010914	-0.6420626216568053	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.24862805653089579	0.0	0.0	0.0
0.0	-0.967471141833812	0.0	-0.3660220382735133	0.0	-0.5803648862056434	0.7275965203689962	-0.5894825914874673	0.0	0.0
0.0	0.0	0.0	0.0	-0.22788033192045987	-0.29093167814426124	0.16832983858609493	0.0	0.0	0.0
-0.9821636965498328	0.0	0.0	-0.6143598014023155	-0.7737508742138743	-0.8205001947935671	0.0	-0.2907213722355664	-0.1583610991947353	-0.15664376551285386
-0.4454210640396923	-0.03388676093891263	0.059861561193529214	-0.22769401222467422	-0.6753506155218929	0.0	0.0	0.0	-0.9290245673619211	0.0
0.0	0.0	0.0	-0.7104930789209902	0.0	-0.9988194780889899	0.7880651619444221	0.0	-0.5530932378023863	-0.13797220191918314
