alkB	alkA	livK	livJ	lysU	kbl	livG	aidB	lrp
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.5662784618325531
-0.34059241437353194	0.0	0.0	0.0	-0.7415853042621166	0.5655447297764432	0.0	0.0	0.0
0.0	0.0	-0.9711908809840679	-0.7255149057600647	-0.7695496380329132	0.0	0.0	-0.16997287888079882	0.0
-0.09717556089162827	0.0	-0.5595145325642079	0.0	0.0	0.06760631543932974	0.0	0.0	0.0
0.0	-0.12414778699167073	0.0	-0.430625488050282	0.0	0.0	0.0	-0.926538415485993	0.0
0.0	0.0	-0.9877442095894367	0.0	0.0	0.0	-0.41651776479557157	0.0	-0.6292703365907073
0.0	-0.06507786060683429	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	-0.8974932441487908	-0.11263275402598083	-0.3197019584476948	0.0	0.0	0.0	0.0
-0.5996936468873173	0.0	-0.6401527647394687	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	-0.4049525347072631	0.0	0.0	0.05961835030815124	-0.5814735610038042	0.0	-0.5709071068558842
