"Time"	G4	G3	G2	G1	G12	G0	G11	G10	G9	G8	G7	G6	G5

0	0.2721782	0.1082097	0.1290234	0.5646112	0.4394179	0.7384684	0.4095990	0.0776053	0.0032411	0.2716739	0.3149676	0.4055878	0.7248131
50	0.1572272	0.0589419	0.1939529	0.5132918	0.3838643	0.6267590	0.0968773	0.0455347	0.0016785	0.3781117	0.2368465	0.3314430	0.5915609
100	0.1930443	0.1109851	0.2030153	0.5669839	0.3944146	0.6092783	0.0505202	0.0504524	0.0001484	0.2722832	0.1109283	0.3038721	0.7424576
150	0.2881460	0.1219103	0.2356771	0.5359060	0.3819997	0.5709290	0.0879002	0.0762755	0.0000485	0.3699797	0.1111025	0.2959984	0.6577028
200	0.1810996	0.0979329	0.2590487	0.5946974	0.3513904	0.6367419	0.0547118	0.1202330	0.0000393	0.3462952	0.1138988	0.2798322	0.6575928
250	0.1472025	0.0885507	0.2536118	0.6200134	0.2673970	0.5767977	0.0605666	0.1271731	0.0007810	0.3392293	0.0784912	0.3014915	0.6900026
300	0.1780698	0.1256135	0.2103150	0.5586703	0.3321044	0.6372441	0.0589774	0.1017721	0.0013344	0.4332936	0.0751124	0.2476084	0.6147232
350	0.0905003	0.1041158	0.2754981	0.6649618	0.2962151	0.5535233	0.0522330	0.0746849	0.0003035	0.2953258	0.0997717	0.1864303	0.6084693
400	0.1717157	0.1212812	0.2426795	0.5996976	0.2293669	0.4941896	0.0525003	0.1064766	0.0071438	0.3520755	0.1040048	0.1882235	0.7872657
450	0.1068461	0.1139408	0.2096428	0.6317888	0.3181609	0.4686668	0.0475163	0.0889292	0.0016595	0.4698960	0.1024722	0.1629299	0.6922523
500	0.1991530	0.0965351	0.2185225	0.5993478	0.2652396	0.5212296	0.0819248	0.0968913	0.0014503	0.4168705	0.0482513	0.2295855	0.6488703
550	0.2011997	0.0756906	0.1658674	0.5707357	0.2646379	0.5912633	0.3615450	0.0846352	0.0021252	0.4951668	0.1095002	0.2246718	0.6379724
600	0.1896794	0.1264761	0.0905705	0.5691110	0.3552207	0.6303397	0.3646099	0.0616572	0.0002796	0.2818744	0.1438881	0.3112757	0.6520696
650	0.1465790	0.1711123	0.1025729	0.6261923	0.2935187	0.6343094	0.3400319	0.0836663	0.0009833	0.3639283	0.0964821	0.2775458	0.5456013
700	0.2431501	0.0732830	0.1355428	0.7046283	0.3462596	0.7567982	0.3969323	0.0473225	0.0013244	0.2995387	0.2422224	0.2711541	0.5318727
750	0.2346781	0.1469345	0.1471629	0.7066691	0.3704957	0.5855002	0.3799527	0.0500449	0.0046751	0.2917870	0.1987234	0.2625196	0.6581622
800	0.1873505	0.0613590	0.1316158	0.6254916	0.4447269	0.6676132	0.4691945	0.0783607	0.0023382	0.3758083	0.2057268	0.2591759	0.5817017
850	0.1881362	0.0938306	0.1114014	0.5424478	0.3376770	0.6107672	0.3888894	0.0775263	0.0017288	0.3301429	0.1893600	0.2172666	0.5711451
900	0.2257875	0.0718329	0.1811311	0.6205432	0.3752004	0.6374941	0.3672206	0.0507400	0.0003321	0.3277161	0.1540016	0.3285946	0.6603249
950	0.1828647	0.1018731	0.1350297	0.6922913	0.3492796	0.7161419	0.4233120	0.0797428	0.0002877	0.3217415	0.1477328	0.2362142	0.6915672
1000	0.2549920	0.1303602	0.0805287	0.5832202	0.3238572	0.6599451	0.3609042	0.0634950	0.0006823	0.2826881	0.0818092	0.1939528	0.7396999

0	0.2438419	0.1280592	0.0967545	0.6075372	0.4373763	0.6837003	0.3346185	0.1304454	0.0011173	0.3124364	0.2089698	0.3378569	0.6287819
50	0.1935276	0.0166371	0.1099762	0.6598445	0.3217875	0.3822849	0.3218209	0.0250073	0.0001644	0.1956792	0.5549609	0.3340675	0.6918689
100	0.2527856	0.0031414	0.1019856	0.6574987	0.2442468	0.3441137	0.4386359	0.0123348	0.0003575	0.2562401	0.4964641	0.3974115	0.5362013
150	0.2806488	0.0030170	0.1236986	0.5479440	0.1879222	0.2684051	0.3763912	0.0019794	0.0055180	0.2043575	0.5469096	0.3106672	0.6166193
200	0.2049083	0.0011988	0.2160787	0.5015006	0.1597747	0.2748709	0.5751420	0.0004771	0.0041533	0.2650933	0.6696334	0.3190288	0.6533939
250	0.2335355	0.0021926	0.1652108	0.3894783	0.2332284	0.3886181	0.5779892	0.0000741	0.0056543	0.2834795	0.5530012	0.3467281	0.6431222
300	0.2764529	0.0087562	0.0983311	0.5125052	0.1476982	0.3047924	0.5241402	0.0000181	0.0002860	0.2813434	0.7056995	0.4447464	0.5821829
350	0.3034010	0.0019562	0.1355548	0.4438667	0.1477573	0.3622546	0.4634257	0.0006951	0.0071841	0.3089508	0.5074466	0.3156116	0.7383578
400	0.2029760	0.0014825	0.0989683	0.5445321	0.2577246	0.3845265	0.4502888	0.0002046	0.0080463	0.2897013	0.5935010	0.3782903	0.5934016
450	0.2257550	0.0022990	0.1608975	0.4635106	0.1841466	0.2607235	0.5723359	0.0000230	0.0029724	0.2965449	0.5910317	0.3482154	0.6582148
500	0.2059526	0.0035640	0.1310513	0.5506947	0.1760965	0.2508028	0.5783435	0.0004062	0.0046119	0.2855570	0.4273870	0.3272172	0.6214386
550	0.1371950	0.1241426	0.1109369	0.4812843	0.2205771	0.6036980	0.4388215	0.0244236	0.0000001	0.4498048	0.0633126	0.3721980	0.7211114
600	0.1425366	0.1300177	0.1557834	0.6326571	0.3372199	0.6608372	0.4349522	0.0375985	0.0007007	0.4275595	0.0508948	0.2766562	0.5317857
650	0.1232945	0.1111019	0.2004983	0.7479140	0.2883905	0.7285041	0.3103300	0.0441606	0.0018722	0.3718678	0.0575913	0.2385102	0.6006081
700	0.1289789	0.1506030	0.1519292	0.6900720	0.2596339	0.5520028	0.4255737	0.0498925	0.0001087	0.3260831	0.0389174	0.2256622	0.6217777
750	0.1412734	0.1180217	0.1138517	0.7023415	0.2601524	0.8122785	0.3405677	0.0549736	0.0024782	0.2650199	0.0467786	0.2585112	0.6721114
800	0.1556905	0.0923235	0.1279705	0.5955300	0.3974129	0.8096617	0.4043732	0.0809411	0.0000392	0.2274861	0.1549948	0.2184438	0.7111956
850	0.2202991	0.0800698	0.1446486	0.7079537	0.3277255	0.6448096	0.4199114	0.0414562	0.0002576	0.2470430	0.0952387	0.3246256	0.7213617
900	0.2040404	0.0731513	0.1685279	0.6532958	0.3638951	0.5372759	0.4131727	0.0512985	0.0007049	0.2679994	0.2083089	0.2488902	0.6092532
950	0.2515880	0.0919819	0.0974892	0.6401967	0.4079985	0.5222249	0.3900523	0.0475582	0.0002024	0.2940504	0.1675069	0.3513078	0.7443176
1000	0.1618225	0.0762881	0.1125346	0.6449831	0.3703800	0.4550203	0.3421352	0.0839618	0.0001387	0.2198272	0.1821145	0.3474006	0.7768878

0	0.2230043	0.1339962	0.1415071	0.7203368	0.4775256	0.7180623	0.3284353	0.0729299	0.0014555	0.3110784	0.2229550	0.3937115	0.5357172
50	0.2037778	0.0920082	0.1003026	0.5487144	0.2790011	0.5011414	0.3800535	0.0801263	0.0020141	0.4376372	0.0640959	0.3034503	0.1064038
100	0.1758850	0.1110437	0.1082278	0.5398136	0.2429234	0.3205708	0.4784019	0.0814943	0.0020494	0.4581881	0.0499061	0.2287731	0.0616666
150	0.2370320	0.1598203	0.1575218	0.6318205	0.1652864	0.2822310	0.4378769	0.0720504	0.0033457	0.5708102	0.0343412	0.2304488	0.0323787
200	0.1363711	0.1463821	0.1346672	0.4969619	0.1600002	0.3001112	0.5558849	0.0554756	0.0026067	0.5524879	0.0508718	0.1557801	0.0953216
250	0.1035446	0.2226174	0.1137202	0.6770393	0.1131406	0.2576166	0.5420747	0.0228859	0.0020502	0.6640735	0.0778947	0.1292275	0.0958853
300	0.1049538	0.1914916	0.1878950	0.4961231	0.1017561	0.3564361	0.3916291	0.0320094	0.0049007	0.5146162	0.0332328	0.1726278	0.0726096
350	0.1580150	0.2914792	0.2387951	0.4977682	0.1188108	0.2561813	0.4798131	0.0175077	0.0107736	0.5196041	0.0393288	0.2068359	0.0804053
400	0.1253861	0.2497314	0.2430585	0.4851704	0.0975893	0.3101687	0.5935373	0.0202032	0.0025787	0.5329418	0.0350007	0.1094616	0.0500625
450	0.0664784	0.2540740	0.2458009	0.4188431	0.1617959	0.3763292	0.5015410	0.0165786	0.0113923	0.5564768	0.0369764	0.1046997	0.0719205
500	0.1267584	0.2900929	0.2225634	0.5688555	0.1410197	0.2673198	0.4417265	0.0213616	0.0009174	0.6044132	0.0371198	0.1560045	0.0537608
550	0.0846427	0.2344775	0.1656705	0.6178744	0.1002755	0.5457970	0.5340339	0.0174803	0.0022068	0.5280033	0.0591120	0.1968712	0.5972891
600	0.1120569	0.1736789	0.1861456	0.4908902	0.2126985	0.6224465	0.4481210	0.0280499	0.0002195	0.3766249	0.0492841	0.1054396	0.7668798
650	0.0922316	0.1290136	0.1215775	0.6032266	0.2443416	0.6103469	0.4188821	0.0146349	0.0000114	0.3272550	0.0627985	0.1389508	0.6218044
700	0.1410396	0.1296679	0.1101707	0.5935731	0.2517758	0.6993432	0.4429500	0.0631525	0.0012974	0.2955298	0.0482332	0.1444111	0.6271725
750	0.1606352	0.1619615	0.1232934	0.7061151	0.3397726	0.7258704	0.3792902	0.0346778	0.0000209	0.2534101	0.0863409	0.2085075	0.6963582
800	0.1417238	0.0902521	0.1172736	0.5715559	0.3932141	0.6278968	0.3480365	0.0331540	0.0007401	0.2388795	0.0613219	0.2571983	0.5791571
850	0.2440227	0.0751582	0.1253369	0.6245534	0.3723652	0.7399292	0.3541364	0.0644297	0.0005191	0.2719465	0.1050025	0.1993328	0.6574177
900	0.3253295	0.1405524	0.1512844	0.6167041	0.3836787	0.6773168	0.3294396	0.0670991	0.0016199	0.2396879	0.4185882	0.3445673	0.6233177
950	0.1919866	0.1083084	0.1671595	0.5718331	0.4111770	0.7333489	0.3427565	0.0624312	0.0026672	0.3018312	0.1345577	0.3568356	0.5996303
1000	0.1359304	0.1174474	0.1221506	0.5176134	0.3834779	0.6089435	0.3969156	0.0851513	0.0061912	0.2838528	0.2161313	0.2675517	0.6145597

0	0.3182115	0.0751561	0.1208415	0.5868790	0.4768270	0.7063611	0.3846644	0.0560054	0.0026698	0.2613117	0.2762635	0.4320519	0.6241085
50	0.1439727	0.1296650	0.0916371	0.5845945	0.4112309	0.2172588	0.2157287	0.0143756	0.2052602	0.3318452	0.1132025	0.3711879	0.6182817
100	0.2455799	0.1982090	0.1499655	0.4956490	0.2444655	0.1222961	0.1797237	0.0017428	0.1953680	0.4856801	0.0605992	0.2706093	0.7473868
150	0.3159656	0.2748506	0.1615244	0.3634541	0.1719579	0.0677365	0.2968559	0.0057377	0.2128624	0.6817147	0.0467729	0.1835980	0.7141896
200	0.3238393	0.6463194	0.4021573	0.1949721	0.1051004	0.0321654	0.3762662	0.0010241	0.4393917	0.6647799	0.0439053	0.1453931	0.5222850
250	0.3186622	0.6178506	0.4087983	0.0979161	0.0561427	0.0423348	0.2817031	0.0063894	0.4256215	0.5553557	0.0403955	0.1178714	0.6751275
300	0.3513205	0.6783907	0.5192335	0.0791298	0.0594274	0.0257498	0.3480862	0.0013515	0.3890542	0.5164335	0.0334258	0.1437873	0.5535937
350	0.3424984	0.6112537	0.4594734	0.0376943	0.0279836	0.0302066	0.3317927	0.0033197	0.3653294	0.6199818	0.0414168	0.1442186	0.6250375
400	0.3845694	0.7222182	0.5360186	0.0292731	0.0153605	0.0406549	0.4443967	0.0070881	0.4763070	0.6190996	0.0323040	0.1863060	0.6351228
450	0.3684619	0.6209641	0.5910722	0.0259065	0.0197158	0.0574782	0.2607636	0.0088382	0.3123734	0.6545866	0.0273227	0.1455207	0.6234736
500	0.3619291	0.7437977	0.5076215	0.0180360	0.0576285	0.0529783	0.4067412	0.0036341	0.3047458	0.7129160	0.0281560	0.1426548	0.6429180
550	0.3099077	0.6441640	0.5244530	0.1593674	0.1238344	0.4497830	0.3413674	0.0209483	0.1631958	0.5950465	0.0353996	0.1301484	0.6345353
600	0.2091019	0.5374236	0.5242983	0.3879559	0.1894614	0.5022618	0.1829126	0.0230445	0.0695745	0.5698523	0.1119546	0.1725429	0.7216691
650	0.1314163	0.3229197	0.5504512	0.5082326	0.2608309	0.6109520	0.1484162	0.0319686	0.0125326	0.4874341	0.0772829	0.1479242	0.6784138
700	0.1063396	0.2150974	0.3776445	0.5944337	0.2790444	0.6777150	0.3007205	0.0432899	0.0008886	0.3702804	0.0376152	0.1659811	0.6234269
750	0.1543423	0.1153332	0.1904098	0.5921500	0.2151298	0.6070373	0.3771965	0.0384611	0.0092818	0.3081314	0.0986093	0.1849292	0.6846672
800	0.2254742	0.0984788	0.1799794	0.5651107	0.4197981	0.5642972	0.3624956	0.0692886	0.0018637	0.4097048	0.1487008	0.3720205	0.6822749
850	0.1872755	0.1270935	0.0888585	0.5984094	0.4005585	0.6021501	0.3429226	0.0430531	0.0001947	0.3390934	0.2258953	0.3347290	0.6238937
900	0.1974368	0.1091399	0.1110304	0.5893848	0.3420515	0.6123887	0.3908184	0.0821822	0.0006216	0.3626623	0.1015124	0.2447889	0.6045873
950	0.2223628	0.1342842	0.1311238	0.6437368	0.3274868	0.6987387	0.4124273	0.0561791	0.0007520	0.3587236	0.1904068	0.2627542	0.5486185
1000	0.1998989	0.1250406	0.1463279	0.5716549	0.4214720	0.6964299	0.3948263	0.0532789	0.0005849	0.3245246	0.1749360	0.3186021	0.6148203

0	0.2517944	0.0968285	0.1437650	0.6123546	0.3989515	0.6147955	0.4151307	0.0852145	0.0028803	0.3210030	0.3037804	0.2994818	0.5084628
50	0.2048107	0.1242697	0.1119607	0.6117974	0.5240194	0.5341202	0.0907214	0.0818824	0.0014575	0.2956125	0.3666623	0.4071788	0.5516379
100	0.2723533	0.0599561	0.1003988	0.6387516	0.5291403	0.5868924	0.0425294	0.0987797	0.0024306	0.2548120	0.2426954	0.3583129	0.5811894
150	0.2063905	0.0959238	0.0954943	0.5760850	0.6295035	0.7011144	0.0215442	0.0695590	0.0004423	0.4072146	0.2858322	0.3491318	0.6299808
200	0.1570720	0.1247412	0.1412398	0.7224253	0.5476809	0.6664159	0.0342981	0.1107563	0.0002911	0.2656590	0.1430331	0.2601474	0.5843337
250	0.2296500	0.0933019	0.1624028	0.7089517	0.4942524	0.6797267	0.0289328	0.1120516	0.0008596	0.3112271	0.0836180	0.3125480	0.5676426
300	0.1430209	0.1609355	0.1133735	0.6097857	0.6716133	0.6486395	0.0779761	0.1211246	0.0015592	0.2936687	0.2323239	0.2394143	0.6395833
350	0.1808031	0.0736904	0.0817349	0.6503718	0.6556952	0.5665532	0.0172787	0.1192686	0.0014073	0.3043501	0.1980247	0.2799189	0.5998847
400	0.2253703	0.1100017	0.1129725	0.7253371	0.5604883	0.6529025	0.0395977	0.1069024	0.0003961	0.3637857	0.1065601	0.4050927	0.6521873
450	0.2218615	0.1118652	0.0929948	0.5813087	0.6566164	0.6781158	0.0568420	0.1230415	0.0012515	0.4517165	0.1831285	0.2763507	0.6642679
